店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
エビスモンジャ！,050-5484-1999,,東京都,渋谷区恵比寿西,1-10-10,若葉西ビル2F,https://b-ebimon.com/,True
中国料理 錦和,03-5244-5888,,東京都,千代田区神田神保町,1-103,東京パークタワー1F,https://gj8y401.gorp.jp/,True
海鮮個室居酒屋 さかなや道場 秋川駅前店,050-5492-1950,,東京都,あきる野市秋川,1-1-1,第9グリーンビル秋川駅前1F,https://sakanayadojo.com/akikawa/,True
居酒屋池前,03-5834-4946,,東京都,台東区上野,2-12-15,YKビル1F,https://gjfz800.gorp.jp/,True
全席個室居酒屋 和食と釜めし 四季邸 新橋店,050-5486-4365,,東京都,港区新橋,3-22-3,3F,https://ghcz613.gorp.jp/,True
個室居酒屋 肴亭 田町店,050-5484-8311,,東京都,港区芝,5-16-7,芝ビルB1,https://ghz2500.gorp.jp/,True
やきとん多吉 有楽町店,03-6268-8037,,東京都,千代田区有楽町,1-2-12,KOKOビルB1〜2F,https://ghzg905.gorp.jp/,True
屋上ビアガーデンBBQ TERRACE THE SUMMER,050-5486-7975,,東京都,新宿区歌舞伎町,1-15-8,丸雄ビル屋上,https://gjh5000.gorp.jp/,True
九州料理・焼酎 個室居酒屋 ヒカリ屋 東京駅グランアージュ店,03-6665-9898,,東京都,千代田区丸の内,1-11-1,グランアージュB1,https://e583125.gorp.jp/,True
鶏焼きと信州戸隠蕎麦 なゝ樹 銀座コリドー街店,050-5488-5061,,東京都,中央区銀座,8-2,東京高速道路山下ビル 1F,https://gj79500.gorp.jp/,True
鳥元 三鷹コラル店,050-5493-6192,,東京都,三鷹市下連雀,3-35-1,三鷹コラル4F,https://ramla-shop.com/torigen-mitaka/,True
五色 立川南口店,050-5487-5133,,東京都,立川市柴崎町,3-6-6,TSJビル3F,http://goshiki-group.jp/,False
目利きの銀次 信濃町駅前店,03-3355-2088,,東京都,新宿区信濃町,34,トーシン信濃町駅前ビル2F,https://www.monteroza.co.jp/shop.html?shop=855247,True
串焼 黒松屋 渋谷店,050-5489-2787,,東京都,渋谷区宇田川町,33-1,グランド東京渋谷ビル 3F,https://gh0y100.gorp.jp/,True
台湾小籠包 點心飲茶酒館 祥門 中目黒店,050-5492-8450,,東京都,目黒区上目黒,2-12-1,1F,https://gjgu303.gorp.jp/,True
魚民 中野北口駅前店,03-3228-7488,,東京都,中野区中野,5-59-9,澤仙ビル1～3F,https://www.monteroza.co.jp/shop.html?shop=871026,True
居楽屋白木屋 神保町駅前店,03-5211-3088,,東京都,千代田区神田神保町,3-12-3,神保町スリービル2F,https://www.monteroza.co.jp/shop.html?shop=829002,True
焼き鳥＆江戸前寿司 食べ放題 個室居酒屋 酔月 新宿駅前店,050-5492-0272,,東京都,新宿区歌舞伎町,1-17-5,第二安田ビル4F,https://ge3h433.gorp.jp/,True
産直海鮮和食と個室 佐渡島へ渡れ 上野店,050-5485-2454,,東京都,台東区上野,2-12-1,セントラル21 7F,https://g725438.gorp.jp/,True
日本酒と個室居酒屋 まぐろ奉行とかに代官 新橋店,050-5488-7588,,東京都,港区新橋,3-23-1,Box’R Shinbashi 3F,https://gdf5808.gorp.jp/,True
鳥道酒場 中野店,03-5942-8677,,東京都,中野区中野,5-59-10,,https://gcp9323.gorp.jp/,True
酒処 魚肴,03-3525-7125,,東京都,千代田区神田須田町,1-8-4,玉井ビル2F,https://gj47600.gorp.jp/,True
屋内ビアガーデン国産牛全品食べ飲み放題 牛若丸 上野本店,050-5493-8490,,東京都,台東区上野,6-13-6,武文ビル3F,https://ghe8005.gorp.jp/,True
個室居酒屋 寿司 焼鳥 おでん 食べ放題 もてなしや 北千住駅前店,050-5484-8899,,東京都,足立区千住,2-62-18,2F,https://ghzm005.gorp.jp/,True
男前料理 虎ノ門 はらから hara‐kara,050-5484-5737,,東京都,港区虎ノ門,1-15-10,名和ビルB1,http://sakana-kikaku.co.jp/,False
【個室完備】創作和食と日本酒のお店 ひなた 品川本店,050-5493-5371,,東京都,港区港南,2-3-28,第3協和ビル3F,https://ggzf405.gorp.jp/,True
肉問屋直営 1980円焼肉食べ放題 牛若丸 渋谷,050-5487-8714,,東京都,渋谷区渋谷,1-25-6,パークサイド共同ビル6F,https://ghe8011.gorp.jp/,True
炉端焼きと炊き立て釜飯 全席個室 稲ノ和 有楽町,050-5493-0621,,東京都,千代田区有楽町,2-3-6,九重会館ビルB1,https://ghcz602.gorp.jp/,True
味噌と燻製 居酒屋テツジ 赤坂,050-5487-7263,,東京都,港区赤坂,2-10-15,溜池ミツワビルB1,https://tetsuji.gorp.jp/,True
70品食べ飲み放題【個室×居酒屋】 300円本舗 だんだん池袋西口店,050-5488-4696,,東京都,豊島区西池袋,3-29-4,ジェスト7ビル2F,https://ggvr700.gorp.jp/,True
和ダイニング 二階,050-5484-3214,,東京都,中央区勝どき,1-8-1,勝どきビュータワー2F,https://a076600.gorp.jp/,True
個室居酒屋 座楽 上野駅前店,050-5494-6002,,東京都,台東区上野,2-14-31,8F,https://gdmy708.gorp.jp/,True
個室×沖縄料理 くわっちー 新宿店,050-5486-0527,,東京都,新宿区新宿,3-11-11,ダイアン新宿ビル5F,https://kuwatti.gorp.jp/,True
Daedoko 丸ビル店,050-5485-7334,,東京都,千代田区丸の内,2-4-1,丸ビル6F,http://daedoko.com/,False
エビスモンジャ！,050-5484-1999,,東京都,渋谷区恵比寿西,1-10-10,若葉西ビル2F,https://b-ebimon.com/,True
魚民 東久留米西口駅前店,042-472-3188,,東京都,東久留米市本町,1-3-9,リバーウエストビルズ3F,https://www.monteroza.co.jp/shop.html?shop=871028,True
完全個室 伊達のくら はなれ 茅場町店,050-5486-8620,,東京都,中央区日本橋茅場町,2-6-8,,https://g807020.gorp.jp/,True
渋谷焼き鳥酒場 いぶし鳥,050-5492-2335,,東京都,渋谷区宇田川町,31-9,ハナテイビル,https://gdan532.gorp.jp/,True
シュラスコ＆ビアレストラン ALEGRIA Kagurazaka,050-5486-8080,,東京都,新宿区神楽坂,4-3,神楽坂楽山ビル4F,https://gguw602.gorp.jp/,True
厳選和食と銘酒 完全個室居酒屋 なごみ 新宿西口店,050-5488-6862,,東京都,新宿区西新宿,1-15-8,5F,https://ggxh803.gorp.jp/,True
無制限飲み放題 和食 個室居酒屋 居心家 吉祥寺,050-5488-4501,,東京都,武蔵野市吉祥寺本町,1-10-4,古城会館4F,https://gazb103.gorp.jp/,True
スクンビット ソイ55,050-5494-3133,,東京都,新宿区西新宿,2-1-1,新宿三井ビルディングB1,https://g501140.gorp.jp/,True
九段下 ちゃらりちゃらり,050-5485-7689,,東京都,千代田区九段北,1-2-11,エイム東京九段ビルB1,http://www.charari.co.jp/,False
